,Belief In Earning Opportunity Equality,Belief In Pay Equality,Education Helps Women,Role Models Help Women,Family Planning Helps Women,Maternity Pay And Childcare Helps Women,Minimum Wage Help Women,Access To Banking Helps Women,Womens Groups And Charities Helps Women,What Helps Women?,Fear Of Violence Is A Barrier,Laws Against Women Working Are A Barrier,Family Responsibilities Are A Barrier,Lack Of Experience Or Skills Is A Barrier,Traditional Views Of Women Are A Barrier,Lack Of ICT Access Is A Barrier,What Are Barriers To Women?,Strength Of Belief That Government Is Helping Women,What Helped You The Most?,Gender,Education,Age
5033,No,No,Yes,No,No,No,No,Yes,No,,No,No,No,Yes,No,No,,2,i had access to good information and supported my self to acquire relevant skills to enable me excel. i also had the support of my parents even though they have never been to school. currently my family support me all the time,Female,Beyond Secondary School,55
5034,No,No,No,No,No,No,No,No,No,Eliminar los estereotipos y la discrminación de género,No,No,Yes,No,Yes,No,,1,Lo que más me ayudado es ser consciente de los estereotipos y las formas de discmrinación hacia las mujeres y de este modo preever cómo evitar los principales obstáculos para mi desarrollo profesional como mujer.,Female,Beyond Secondary School,30
5035,No,No,No,No,No,Yes,No,No,No,,No,No,No,No,Yes,No,,1,,Female,Beyond Secondary School,25
5036,Yes,Yes,Yes,Yes,No,No,No,No,No,,Yes,No,No,No,Yes,No,,5,,Female,Beyond Secondary School,18
5037,No,No,No,No,No,No,No,No,No,公开公正，同工同酬，机会均等。,No,Yes,No,No,Yes,No,,1,朋友推荐,Female,Beyond Secondary School,50
5038,Yes,Yes,No,No,Yes,No,No,No,No,,Yes,No,No,No,No,No,,3,领导对工作的认可,Female,Beyond Secondary School,29
5039,No,No,Yes,No,No,No,No,No,No,Build up confidence in girls from an early age to believe in themselves and their independence and capabilities,No,No,No,Yes,Yes,No,,3,"Good education, getting a degree, being independent, working hard, being smart. Sacrificing motherhood.",Female,Beyond Secondary School,41
5040,No,No,Yes,No,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,1,good education and work hard,Female,Beyond Secondary School,36
5041,Yes,Yes,Yes,No,No,No,No,No,No,,No,No,No,Yes,No,No,,5,,Female,Beyond Secondary School,25
5042,Yes,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,2,Self training. Because when you have a good diploma it opens door to better life.,Female,Beyond Secondary School,48
5043,No,No,No,Yes,No,Yes,No,No,No,,No,No,Yes,No,No,No,,1,"personal initiative, education and skills, as well as patience,  purposefulness,     devotion to work.",Female,Beyond Secondary School,62
5044,No,Yes,Yes,No,No,No,No,Yes,No,,No,No,Yes,No,Yes,No,,3,"Good Education, exposure, support from the family and my acceptance by society, involvement in Religious activities.",Female,Beyond Secondary School,46
5045,Yes,Yes,Yes,No,No,No,No,No,No,,No,No,Yes,No,No,No,,4,教育,Female,Beyond Secondary School,62
5046,Yes,Yes,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,5,"i have not gotten a job one can call good yet, i am not earning any much either.",Male,Beyond Secondary School,36
5047,Yes,Yes,Yes,No,No,No,No,No,No,,No,No,Yes,No,Yes,No,,3,"Good education help me get a good job.
I am an engineer in a bank.",Female,Beyond Secondary School,45
5048,No,No,No,No,No,No,Yes,No,No,,No,No,No,No,No,No,gender,1,good education,Female,Beyond Secondary School,28
5049,No,No,No,Yes,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,"My parents assisted me financially to get a post secondary education and I was able to rely on family and private in home daycare for flexible, affordable childcare options.",Female,Beyond Secondary School,47
5050,No,No,No,Yes,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,3,,Female,Beyond Secondary School,25
5051,No,No,Yes,No,No,No,No,No,No,,No,No,Yes,No,No,No,,3,Mon niveau d'education,Female,Beyond Secondary School,34
5052,No,No,No,Yes,No,No,Yes,No,No,,No,No,No,Yes,Yes,No,,1,"Saberme capaz
Trabajar en la administración pública",Female,Finished Secondary School,57
5053,Yes,No,No,Yes,No,No,No,No,No,Better trained and informed leaders.  i.e. unconscious bias training,No,No,No,No,Yes,No,,4,a great mentor that supported unconventional ideas. ability to have autonomy.  this gives a person confidence and less fear of failure.,Female,Beyond Secondary School,47
5054,No,No,No,Yes,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,2,"Good education, feminist theories and emancipation.",Female,Beyond Secondary School,29
5055,No,Yes,Yes,No,No,No,No,Yes,No,,No,No,No,Yes,No,No,Manque de volonté de la part des dirigeants,4,Ce qui m'a le plus aidé à obtenir un bon emploi c'est la motivation et la perséverance et en dernier lieu gagner plus d'argent,Male,Beyond Secondary School,58
5056,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,2,女性就业机会的增加，家庭责任男女一样，生活保障,Female,Finished Secondary School,21
5057,No,No,Yes,No,Yes,No,No,No,No,,No,No,No,Yes,Yes,No,,4,,Female,Beyond Secondary School,24
5058,No,No,Yes,No,No,No,No,No,Yes,,No,Yes,No,No,Yes,No,,1,,Female,Finished Primary School,21
5059,No,Yes,Yes,No,No,No,No,No,Yes,,No,No,Yes,No,Yes,No,,1,"During my childhood, my parents encouraged me to study hard.  I left my small hometown and went to college through exams. And then good education helped me find a decent job in Beijing. However, because of my single state, I cannot get promotion and some good opportunities in my company. In China unmarried women have a lot of difficulties in job seeking and promotion.  I am very disappointed with my company and my country.",Female,Beyond Secondary School,35
5060,No,No,Yes,No,No,No,No,Yes,No,,No,Yes,No,No,Yes,No,,3,"Access to a good education and training
Living in societies more open to gender equality",Female,Beyond Secondary School,37
5061,Yes,No,Yes,No,No,No,No,Yes,No,,Yes,No,No,No,Yes,No,,2,,Female,Beyond Secondary School,35
5062,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,2,,Female,Beyond Secondary School,23
5063,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,3,,Male,Beyond Secondary School,35
5064,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,4,"Education, hard work and being taught to be independent.",Female,Beyond Secondary School,49
5065,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,2,"A good education.
Paid maternity leave.
Support from boss, husband, and family members.",Female,Beyond Secondary School,41
5066,Yes,No,Yes,No,No,No,No,No,No,,Yes,No,No,No,No,No,,4,My knowledge and hard work.,Female,Beyond Secondary School,42
5067,No,Yes,Yes,No,No,No,No,Yes,No,,No,No,No,Yes,Yes,No,,3,good education,Female,Beyond Secondary School,48
5068,No,Yes,Yes,No,Yes,No,No,No,No,,Yes,No,Yes,No,No,No,,3,Having a good education has always helped and encouraged me to apply for new jobs. But the reality is you can easily find a job if you know someone who is a leader of owner of particular work place.,Male,Beyond Secondary School,25
5069,No,Yes,No,No,No,No,No,Yes,No,,No,No,Yes,No,Yes,No,,2,我个人曾经创业过，个人觉得有一个专业的培训，创业指导，方向指引都对创业是否成功有很大的帮助。,Female,Beyond Secondary School,38
5070,Yes,Yes,Yes,No,No,No,No,Yes,No,,Yes,No,No,Yes,No,No,,5,A good professional training sanctioned by a volunteer service in my field of work is leading me to a hood start-up business.,Male,Beyond Secondary School,45
5071,No,Yes,Yes,No,No,No,No,Yes,No,,No,No,Yes,No,Yes,No,,4,Good education family support,Female,Beyond Secondary School,40
5072,No,No,No,No,No,No,No,Yes,No,,No,No,No,Yes,No,No,,3,"Family support and approval, education, self-confidence, changing roles in society",Female,Beyond Secondary School,63
5073,No,Yes,Yes,Yes,No,No,No,No,No,,Yes,No,No,Yes,No,No,,3,,Male,Beyond Secondary School,25
5074,No,No,No,No,No,Yes,No,No,No,Government help: women and men salary equality,No,No,No,No,Yes,No,,3,"Maintaining a good network
Ask for more money",Female,Beyond Secondary School,36
5075,No,No,No,No,No,Yes,Yes,No,No,,No,Yes,Yes,No,No,No,,4,,Female,Beyond Secondary School,32
5076,No,No,No,Yes,No,No,No,No,No,,No,No,No,No,Yes,No,,3,"Good education, perseverance.",Female,Finished Secondary School,70
5077,Yes,,Yes,No,No,No,No,No,No,,No,No,No,Yes,No,No,,3,,Male,Beyond Secondary School,48
5078,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,3,"confidence， brave，working hard, don't give up.",Female,Beyond Secondary School,28
5079,Yes,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,Yes,No,No,,4,,Female,Beyond Secondary School,57
5080,No,Yes,Yes,No,No,Yes,No,No,No,,Yes,No,Yes,No,No,No,,3,My early schooling,Female,Beyond Secondary School,35
5081,No,No,Yes,No,Yes,No,No,No,No,,No,Yes,No,No,Yes,No,,4,"Access to higher education, supportive parents and the ability to try new things and make mistakes.",Female,Beyond Secondary School,27
5082,No,No,Yes,No,Yes,No,No,No,No,,Yes,No,No,No,Yes,No,,4,"A good education, strong will to reach my goal, a large network, enthusiasm, will-power",Female,Beyond Secondary School,57
5083,No,No,Yes,No,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,5,UN BUEN NIVEL DE FORMACION A TRAVÉS DE UNA EDUCACIÓN PÚBLICA DE CALIDAD. UNA ADECUADA PLANIFICACIÓN DE LA MATERNIDAD A TRAVÉS DE UN SISTEMA ADECUADO DE ANTICONCEPCIÓN PÚBLICA Y ADECUADA PROTECCIÓN DE LA MISMA.,Female,Beyond Secondary School,50
5084,No,No,Yes,No,No,Yes,No,No,No,,No,No,No,Yes,Yes,No,,3,"Education
equal opportunity for women in my industry",Female,Beyond Secondary School,60
5085,Yes,Yes,Yes,No,No,No,No,No,Yes,,No,No,No,Yes,Yes,No,,2,参加专业培训,Female,Beyond Secondary School,39
5086,Yes,Yes,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,1,自己的工作经验、学习能力与网络知识,Male,Beyond Secondary School,50
5087,No,No,Yes,No,No,No,No,Yes,No,,No,No,Yes,No,Yes,No,,3,"My education - MD and MPH, my active stance, and a touch of good luck!",Female,Beyond Secondary School,56
5088,Yes,No,No,Yes,No,Yes,No,No,No,,No,No,Yes,No,No,No,Conventional definitions of success,3,"Education
Willingness to take risks
No children - free to choose a path despite uncertain outcome
Opportunities arise through word of mouth rather than conventional recruitment",Female,Beyond Secondary School,40
5089,No,No,No,No,No,No,Yes,No,Yes,,No,No,Yes,No,Yes,No,,1,Mire than 10 years same area experience.,Female,Finished Secondary School,35
5090,No,,Yes,No,No,No,Yes,No,No,,No,Yes,No,No,Yes,No,,3,"Good education, good skills, valuable information on available opportunities, exposure",Male,Beyond Secondary School,32
5091,Yes,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,3,"Education
Parental and marital support
No children to stop my progress or need a career break",Female,Beyond Secondary School,61
5092,No,No,No,No,Yes,Yes,No,No,No,,No,No,Yes,No,Yes,No,,2,J,Female,Beyond Secondary School,42
5093,No,Yes,Yes,No,No,No,No,No,No,Equal and non transferable maternity / paternity leave,No,No,No,No,Yes,No,,3,,Male,Beyond Secondary School,36
5094,No,No,No,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,2,Education and sharing housework and childcare at home equally.,Female,Beyond Secondary School,36
5095,Yes,No,Yes,No,No,No,No,No,Yes,,No,No,Yes,Yes,No,No,,3,,Female,Finished Secondary School,25
5096,No,No,Yes,No,No,No,No,No,No,,No,Yes,No,No,Yes,No,,3,,Female,Beyond Secondary School,50
5097,No,No,No,Yes,No,No,No,No,No,,No,No,Yes,No,No,No,,3,,Female,Beyond Secondary School,31
5098,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,1,"Determination, the few opportunities I had access to education provide me an open mind to dream about something better for my life than just do housework and have children.",Female,Beyond Secondary School,25
5099,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,4,Pursuit of higher education,Female,Beyond Secondary School,55
5100,Yes,No,Yes,No,No,No,No,Yes,No,,No,No,Yes,No,Yes,No,,4,,Female,Beyond Secondary School,54
5101,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,1,"The good education I had access to thanks to my parents good financial background; the incentives I received from my family since an early age to always be bold, look up and follow my dreams.",Female,Finished Secondary School,25
5102,No,No,No,Yes,No,No,No,No,No,,No,No,No,No,Yes,No,,3,,Female,Beyond Secondary School,78
5103,No,No,No,Yes,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,1,a friend told me about the job,Female,Beyond Secondary School,29
5104,No,Yes,Yes,No,No,No,No,No,Yes,,No,No,No,Yes,No,No,,3,"Образование, цель, настойчивость,коммуникабельность, друзья.",Female,Beyond Secondary School,50
5105,No,No,Yes,No,Yes,No,No,No,No,,No,No,Yes,No,Yes,No,,2,"Education, the women of my family, friends and a job that offer a ""creche"" ( a service of  child care)",Female,Beyond Secondary School,54
5106,No,No,No,No,No,No,No,No,No,Educating boys as well as women,No,No,No,No,Yes,No,,4,Access to education.  Being born in the right country to have the freedoms to pursue ones dreams.,Female,Beyond Secondary School,57
5107,No,No,No,Yes,No,No,No,No,No,,No,No,No,No,Yes,No,,3,"Support of my family and a good, hard working childhook (I grew up on a farm).  I moved away in my late 20's and started a new life for myself.  I have some post secondary education but my success is due to my hard working upbringing, motivation and having people who believed I would succeed.",Female,Some Primary School,49
5108,No,Yes,Yes,Yes,No,No,No,No,No,,No,No,No,No,No,No,Sexual favors in exchange for jobs and promotion,5,"Education, Skills and experience",Male,Beyond Secondary School,37
5109,Yes,No,No,No,No,No,No,No,Yes,,No,No,No,No,Yes,No,,3,,Female,Beyond Secondary School,28
5110,Yes,No,No,Yes,No,No,No,No,No,,No,No,No,No,Yes,No,,4,Being aggressive and not taking no for an answer. I often accept my role as a women if it works to my advantage and am not ashamed of that.,Female,Beyond Secondary School,42
5111,Yes,No,No,No,No,No,No,No,No,Women need to be more enlightened about different occupations. Not just train for 'traditional' positions.,No,No,No,No,Yes,No,,3,"People who gave me opportunity to improve and expand beyond my initial role.  Also personal drive to step outside boundaries and, in my situation, move into male dominated positions at that time.",Female,Beyond Secondary School,51
5112,No,No,Yes,No,No,Yes,No,No,No,,No,No,No,No,Yes,No,lack of education opportunities,4,"Getting an education in a highly paid profession, the law, allowed me to provide for my family, enjoy financial stability, and opened up opportunities that I had not thought of for pursuing my career.",Female,Beyond Secondary School,56
5113,Yes,No,Yes,No,No,No,No,Yes,No,,No,No,Yes,No,Yes,No,,4,,Female,Finished Secondary School,15
5114,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,1,,Male,Beyond Secondary School,25
5115,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,4,,Female,Beyond Secondary School,19
5116,No,Yes,No,No,Yes,Yes,No,No,No,,No,No,No,Yes,Yes,No,,3,"Education, information, continuos learning, will and good luck",Female,Beyond Secondary School,43
5117,No,No,Yes,No,No,No,No,Yes,No,,No,No,Yes,No,Yes,No,,3,,Female,Beyond Secondary School,25
5118,Yes,Yes,Yes,No,Yes,No,No,No,No,,No,Yes,No,No,Yes,No,,3,A good education an family support,Female,Beyond Secondary School,22
5119,Yes,No,Yes,No,No,Yes,No,No,No,,No,No,No,Yes,No,Yes,,4,"The opportunities my family gave me, my parents working together to give me a great education, values such as hard work, helping others and becoming independent. I had excellent role models in both my mother and father and being able to finish school and get a degree were extremely beneficial.",Female,Beyond Secondary School,26
5120,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,2,Nothing except myself,Female,Beyond Secondary School,39
5121,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,Yes,No,,3,"Hard word, education and being fortunate to have a support network that allowed me to develop a work/life balance.",Female,Beyond Secondary School,40
5122,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,No,No,No,,2,Education in a developed country,Female,Beyond Secondary School,25
5123,Yes,No,Yes,No,No,Yes,No,No,No,,No,Yes,No,No,No,Yes,,3,Education opportunities.,Female,Beyond Secondary School,27
5124,No,No,No,Yes,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,2,,Female,Beyond Secondary School,34
5125,No,No,No,No,No,No,No,No,No,Equal Rights Policies and Legislation,No,No,No,No,Yes,No,,3,,Female,Beyond Secondary School,31
5126,No,No,Yes,No,No,Yes,No,No,No,,No,No,Yes,No,Yes,No,,2,"The fact that I was able to study, with the support of my family. I also studied and worked hard.",Female,Beyond Secondary School,51
5127,Yes,No,No,No,No,No,No,Yes,No,,No,No,No,Yes,No,No,,1,"Good education, self-confidence, empowerment from friends, perseverance, courage and access to banking.",Female,Beyond Secondary School,58
5128,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,Yes,No,No,,3,Sportive husband,Female,Beyond Secondary School,55
5129,No,No,No,Yes,No,No,No,No,No,More support from their male counterparts,No,No,No,No,Yes,No,,4,,Female,Finished Secondary School,47
5130,No,No,No,No,No,No,No,Yes,Yes,,Yes,No,Yes,No,No,No,,3,"Supportive parents with the ambition for me to do well at school and the means to send me to university, and then the environment to make me feel confident in pursuing a career. As a middle class person I feel my opportunities have been far greater than those of many others in the UK. I also have intelligence, drive and confidence but many others who have the same potential for these characteristics do not achieve it due to their circumstances.",Female,Beyond Secondary School,33
5131,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,Yes,No,,2,Education and empowerment,Female,Beyond Secondary School,25
5132,No,No,No,No,No,No,No,No,Yes,,No,No,No,No,Yes,No,,3,,Female,Beyond Secondary School,25
5133,No,Yes,Yes,No,No,No,No,Yes,No,,No,No,Yes,No,Yes,No,,2,,Male,Beyond Secondary School,40
